fam_ID__	seq_ct	present	below	equal	above	glyma	phavu	vigan	vigra	vigun	cajca	medtr	cicar	tripr	lotja	lupan	aradu	araip	arahy
L_L03BJ1	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L046PB	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L077D3	19	13	10	2	2	3	1	1	1	1	2	1	0	2	1	1	1	1	3	
L_L079KL	16	13	11	3	0	2	1	1	0	1	1	1	1	1	2	1	1	1	2	
L_L087FK	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0C5LX	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0CXCD	16	13	11	3	0	2	1	1	1	1	1	1	0	1	2	1	1	1	2	
L_L0H3ZS	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0K67D	16	13	11	3	0	1	1	1	1	1	2	1	0	1	2	1	1	1	2	
L_L0L0PD	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0MX2W	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0N15R	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0RWH3	16	13	11	3	0	2	1	1	0	1	1	1	1	1	1	1	1	2	2	
L_L0SJT9	16	13	12	1	1	3	1	1	1	1	1	1	1	1	0	1	1	1	2	
L_L0TXWY	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0V918	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0VKL1	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0VW9Z	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0VXKT	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0ZJPL	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L0ZQG9	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L12J19	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L12MGR	17	14	11	3	0	2	2	1	1	1	1	1	1	1	1	1	1	1	2	
L_L133CY	17	14	11	3	0	2	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L1CFT4	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1FFNC	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L1GR48	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L1HV04	16	13	11	3	0	2	1	1	1	1	2	1	1	1	0	1	1	1	2	
L_L1HXTQ	16	13	11	3	0	2	2	1	1	1	1	1	1	1	0	1	1	1	2	
L_L1J34T	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1K73X	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1KB3T	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1N22J	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1PY36	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1YFD3	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L1ZJKY	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L21V18	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L227B1	16	12	13	0	1	5	1	1	1	1	1	1	0	1	1	1	1	1	0	
L_L285F1	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L285HX	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L28DXC	16	13	12	1	1	1	1	1	1	1	1	1	0	1	3	1	1	1	2	
L_L29BJV	16	13	11	3	0	2	1	1	0	1	1	1	1	2	1	1	1	1	2	
L_L2BGPD	16	14	12	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	
L_L2C99M	16	13	11	3	0	2	1	1	1	1	1	1	1	1	0	2	1	1	2	
L_L2GHXM	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L2NJV8	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L2X8C3	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L2XNCK	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L30CRY	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L30HHS	16	14	12	2	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L30PP2	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L33HJ1	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L33NJW	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3874P	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L38BVV	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L38WCV	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3BX31	16	13	11	3	0	2	1	1	1	1	1	1	0	1	1	1	1	2	2	
L_L3C0L3	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3D7QN	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L3G19Y	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L3HGTR	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3JQ0W	16	14	12	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
L_L3KRB0	17	13	10	4	0	2	1	1	1	1	0	1	1	2	1	2	1	1	2	
L_L3NGML	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3NXXS	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3S1C9	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L3SF3R	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L3SYH0	17	14	11	3	0	2	1	1	1	1	1	2	1	1	1	1	1	1	2	
L_L3VJ6X	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L3VKCD	16	14	12	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	
L_L40B55	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L40YQ4	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L41VXB	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L44DZY	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L44MDR	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L44WFC	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L464TN	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L46M47	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L47M1P	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L47X74	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L48QZZ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4B5RJ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4D2DW	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4DQCN	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4DQP9	16	12	11	2	1	3	1	1	1	1	1	1	0	0	1	2	1	1	2	
L_L4DXJ0	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4GY09	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L4H2LY	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L4HBVV	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4L408	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4S4JC	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4SJYW	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4TJQC	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4X1V1	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L4XLDN	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5154L	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5203X	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L53Q72	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L53RXK	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L55P48	17	14	12	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5695L	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5CHWM	17	14	11	3	0	2	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L5HGVJ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5K9TT	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L5NX4P	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5QRWW	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5QV18	16	13	11	3	0	2	1	1	0	1	1	1	1	1	1	2	1	1	2	
L_L5SK2C	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L5VKVP	18	14	10	4	0	2	1	2	1	1	1	1	1	1	1	2	1	1	2	
L_L5W1QM	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L5XH30	16	13	11	3	0	2	1	1	1	1	1	1	1	0	1	2	1	1	2	
L_L601CC	16	13	11	3	0	2	1	1	1	1	1	1	0	1	2	1	1	1	2	
L_L609X2	16	13	11	3	0	2	1	1	1	1	1	1	0	1	1	2	1	1	2	
L_L61FYD	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L64N11	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L64RVL	16	13	11	3	0	2	1	1	1	1	1	1	1	0	1	2	1	1	2	
L_L69C12	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L69M0P	16	14	12	2	0	1	1	1	2	1	1	1	1	1	1	1	1	1	2	
L_L69PS9	16	13	11	3	0	2	1	1	2	1	1	1	1	1	0	1	1	1	2	
L_L6BQY3	16	13	11	3	0	2	1	1	1	1	1	1	1	0	1	2	1	1	2	
L_L6C0DX	16	14	12	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
L_L6KJ9N	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6MZTK	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6PCQL	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6R6C4	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6RQFG	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6ST1C	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_L6SWRL	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6TGJH	17	14	12	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	
L_L6TT7C	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6W88N	17	13	10	4	0	2	1	1	0	1	1	2	1	1	1	1	2	1	2	
L_L6WFC5	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6YF7R	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L6Z93V	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L70XTQ	16	13	11	3	0	2	1	1	1	1	1	1	0	1	1	1	1	2	2	
L_L71CBV	17	13	11	2	1	2	1	1	1	0	1	1	1	1	3	1	1	1	2	
L_L72LG3	16	14	12	2	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	
L_L75V60	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L75X02	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L777MD	16	13	11	3	0	2	1	1	1	1	1	1	1	0	1	2	1	1	2	
L_L77SXY	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L77VKM	19	14	11	2	1	2	1	4	1	1	1	1	1	1	1	1	1	1	2	
L_L7B2B8	16	14	12	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	
L_L7DL91	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7FJ5T	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7JNSR	16	14	12	2	0	1	1	1	1	2	1	1	1	1	1	1	1	1	2	
L_L7JS09	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7KZHY	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7LD9B	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7M3Q5	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7RSVK	16	12	10	4	0	2	1	0	1	1	1	1	1	2	2	0	1	1	2	
L_L7TQ4Y	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7X107	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L7XGF9	16	12	10	4	0	2	1	1	0	1	1	1	0	2	2	1	1	1	2	
L_L7ZKVL	16	12	11	2	1	2	3	0	0	1	1	1	1	1	1	1	1	1	2	
L_L80YD2	17	13	10	4	0	2	1	1	1	1	2	1	1	2	1	0	1	1	2	
L_L8195C	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L82456	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L82VRD	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L83C3Q	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L87216	18	14	11	2	1	3	1	1	1	1	1	1	1	2	1	1	1	1	2	
L_L87MQZ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8BKT0	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8BXFT	16	13	13	0	1	4	1	1	1	1	1	1	1	1	1	1	1	1	0	
L_L8CF0R	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8H6T7	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8M52T	16	14	12	2	0	1	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L8N31V	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	2	1	1	1	
L_L8N9DH	16	13	11	3	0	2	1	1	1	1	1	1	1	0	1	1	1	2	2	
L_L8NK4T	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8P4GN	17	14	11	3	0	2	1	1	1	1	2	1	1	1	1	1	1	1	2	
L_L8PD24	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8Q06Z	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_L8RYL3	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8S2LD	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8V2P3	16	14	12	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	
L_L8XDBH	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8XXVK	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L8ZKCC	16	14	12	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
L_L95M4D	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L96NQ1	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9BNMM	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9CFD6	16	13	11	3	0	2	1	1	1	1	1	1	1	1	1	0	1	2	2	
L_L9CMLV	16	13	11	3	0	2	1	1	1	1	1	1	1	1	0	1	1	2	2	
L_L9FNT7	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9G3S5	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9J9YP	16	13	11	3	0	2	1	1	1	1	1	2	1	2	0	1	1	1	1	
L_L9KPJB	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9MSTS	16	12	10	4	0	2	1	0	2	1	1	1	2	1	1	1	1	0	2	
L_L9SXWH	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9TSC8	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9W0TR	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_L9ZWY3	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LB00V5	16	13	11	3	0	2	1	1	1	1	1	1	1	2	1	0	1	1	2	
L_LB0RQ6	16	14	12	2	0	1	1	2	1	1	1	1	1	1	1	1	1	1	2	
L_LB1BG5	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LB3630	16	14	12	2	0	1	1	1	1	1	2	1	1	1	1	1	1	1	2	
L_LB3CY8	16	14	12	2	0	1	1	1	1	1	2	1	1	1	1	1	1	1	2	
L_LB3MQ3	16	13	11	3	0	2	1	1	1	1	1	1	1	0	1	2	1	1	2	
L_LB40GF	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LB4XKM	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_LB5MTL	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LB66JV	16	14	12	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
L_LB6F1Z	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LB7Y2G	16	14	12	2	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1	
L_LBB1X2	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBD288	16	13	11	3	0	2	1	1	1	1	1	0	1	1	1	2	1	1	2	
L_LBFJ5X	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBFLB9	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBHFN4	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBKH6V	16	14	12	2	0	1	1	1	1	1	1	1	1	2	1	1	1	1	2	
L_LBMGSL	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	2	1	1	1	
L_LBN733	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBNK26	17	14	11	3	0	1	1	1	1	1	2	2	1	1	1	1	1	1	2	
L_LBPVK7	16	12	10	4	0	2	1	0	2	1	0	2	1	1	1	1	1	1	2	
L_LBSRNT	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBWST2	16	13	11	3	0	2	1	1	1	1	1	1	0	1	1	2	1	1	2	
L_LBWY36	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LBXTP7	16	14	12	2	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	
L_LC02LX	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC0H3T	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC2CHN	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC2G7V	16	13	11	3	0	2	1	1	1	1	1	1	1	1	0	2	1	1	2	
L_LC4QS8	16	13	11	3	0	2	1	1	1	1	0	1	1	1	2	1	1	1	2	
L_LC5FV1	16	13	11	3	0	2	1	1	1	1	1	1	1	1	0	2	1	1	2	
L_LC6296	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC7LMH	16	14	12	2	0	1	2	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC7W1S	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC7XKN	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_LC8113	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LC88HX	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	1	2	
L_LC97WJ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LCBX0J	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LCDW13	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LCGB1B	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LCKNX7	16	13	11	3	0	2	1	1	1	1	1	1	0	1	2	1	1	1	2	
L_LCLPFN	16	13	11	3	0	1	1	1	1	1	2	1	1	1	2	1	1	0	2	
L_LCNT8S	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LCPTC3	16	13	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	0	2	
L_LCSPRW	16	13	11	3	0	2	1	1	1	1	1	1	1	1	2	1	1	0	2	
L_LCT62N	16	13	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	0	2	
L_LCT8D2	16	13	12	1	1	2	1	1	1	1	1	1	1	1	1	3	1	0	1	
L_LCTVZ3	17	13	10	4	0	2	1	1	1	1	1	1	1	1	2	2	1	0	2	
L_LCWJKK	19	11	9	3	2	4	1	1	1	1	2	2	0	1	2	0	1	0	3	
L_LCWPGN	16	13	11	3	0	2	1	1	1	1	1	1	1	1	1	2	1	0	2	
L_LCZ7BN	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LD0NKG	16	13	11	3	0	2	1	1	1	1	1	1	1	1	2	1	1	0	2	
L_LD12LG	16	13	11	3	0	2	1	1	1	1	1	2	1	1	1	1	1	0	2	
L_LD2J7D	16	12	10	4	0	2	1	1	1	1	0	1	1	1	2	2	1	0	2	
L_LD4Y9Q	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LD4ZXS	16	13	11	3	0	2	1	1	1	1	1	1	1	1	2	1	1	0	2	
L_LD89TF	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDB3D4	16	13	11	3	0	1	1	1	1	2	1	1	1	1	2	1	1	0	2	
L_LDCZLL	17	13	11	2	1	2	1	0	1	1	1	1	1	1	1	1	1	2	3	
L_LDDKZ4	19	13	10	3	1	2	1	1	1	1	1	1	1	1	1	0	2	2	4	
L_LDF46P	16	8	9	3	2	1	0	0	0	0	0	1	2	3	0	1	2	2	4	
L_LDF55H	16	13	11	3	0	2	1	1	1	1	1	1	1	1	1	1	2	0	2	
L_LDH2SH	17	14	11	3	0	2	1	1	1	1	1	1	1	1	1	1	2	1	2	
L_LDJ1G9	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDJNGX	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDKW0Y	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDLDLQ	16	13	11	3	0	2	1	1	1	1	1	1	1	1	0	2	1	1	2	
L_LDLRYG	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDN13B	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDNPJT	16	14	12	2	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	
L_LDTZJR	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDWHRD	16	13	11	3	0	2	1	0	1	1	1	1	1	1	1	2	1	1	2	
L_LDXXF1	16	13	12	1	1	3	1	1	1	1	1	1	1	1	0	1	1	1	2	
L_LDZ1YS	17	13	11	2	1	1	1	1	1	1	3	1	2	1	1	0	1	1	2	
L_LDZ7QJ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LDZH9Y	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LF43ZL	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LF494N	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LF5WK9	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LF7KY0	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFDBXF	17	14	12	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	
L_LFFK6X	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFFW37	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFG3M7	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFJY2W	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFK9SM	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFLHHC	16	13	11	3	0	1	1	1	1	1	1	2	0	2	1	1	1	1	2	
L_LFLLCD	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFLT7R	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFMC62	16	14	12	2	0	1	1	1	1	1	1	2	1	1	1	1	1	1	2	
L_LFNYH5	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LFTM7S	16	14	12	2	0	1	1	1	1	1	1	1	1	1	2	1	1	1	2	
L_LFXSXJ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LG075K	18	14	11	2	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	
L_LG6QRN	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
L_LG8025	15	11	12	1	1	1	0	1	1	1	1	1	1	0	4	0	1	1	2	
L_LG9GTZ	16	14	12	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2	
